Review Text,review_english,User Name,category,sentimiento
"No use esta empresa, no son honestos ni confiables. Me facturaron dos veces en varias fechas diferentes sin mi permiso. Llegaron tarde a recogernos para dejarnos en el aeropuerto y continuaron sin responsabilizarse por ello.","Do not use this company, they are not honest or reliable.They billed me twice on several different dates without my permission.They were late to pick us up to leave us at the airport and continued without taking responsibility for it.",Brenda,Queja por conductor,0
Nous avons réservé des transferts aéroport pour un séjour à New York à venir. Nous avons tout d’abord été prélevés deux fois et nous bataillons depuis des semaines pour être remboursés…Nous avons ensuite voulu tout annuler et il nous a été indiqué que des frais s’appliqueraient alors que les conditions générales de vente ne le mentionnaient pas…,We have reserved airport transfers for a stay in New York to come.We were first taken twice and have been fighting for weeks to be reimbursed ... We then wanted to cancel everything and it was indicated to us that costs would apply when the general conditions of sale did not mention it ...,MagPuMa,Otro,0
"Excelente servicio, definitivamente los recomiendo. nuestro chofer nos brindó un servicio personalizado y profesional. gracias Juan por el excelente servicio.","Excellent service, I definitely recommend them.Our driver gave us a personalized and professional service.Thanks Juan for the excellent service.",Josué D,Recomendación por buen servicio del conductor,2
"Nos encantó excelente servicio estuvimos de vacaciones en New York muy puntuales, responsables muy bonita experiencia","We loved excellent service we were on vacation in New York very specific, responsible very beautiful experience",Carol U,Otro,2
"servicio excepcional, de principio a fin la comunicación fue excelente. José, nuestro conductor, fue muy servicial y profesional. definitivamente recomendaría esta compañía.","Exceptional service, from beginning to end the communication was excellent.José, our driver, was very helpful and professional.I would definitely recommend this company.",juliojump,Recomendación por buen servicio del conductor,2
"Hagas lo que hagas, ¡no reserves con esta empresa! Les paga por un automóvil que no obtiene y tampoco se presentan para un viaje de regreso al aeropuerto. No hay forma de contactarlos ya que no contestan el número dado en su sitio web ni responden a los correos electrónicos. Reservé un viaje de regreso desde / hacia JFK, la recogida fue en un automóvil mucho más pequeño que el pagado, que era extremadamente pequeño para 3 adultos más casos. Luego, no se presentaron para el viaje de regreso a pesar de los numerosos intentos de intentar contactarlos, nuestro hotel amablemente logró conseguirnos un taxi amarillo grande con poca antelación.<br />Servicio al cliente asqueroso! ¡Ahora tratando de recuperar el dinero a través de nuestro banco!","Do what you do, do not book with this company!He pays them for a car that does not get and do not show up for a trip back to the airport.There is no way to contact them since they do not answer the number given on their website or respond to emails.I reserved a return trip from / to JFK, the collection was in a car much smaller than the paid, which was extremely small for 3 adults plus cases.Then, they did not show up for the return trip despite the numerous attempts to try to contact them, our hotel kindly managed to get a large yellow taxi with low in advance. <br /> Askempable customer service!Now trying to recover money through our bank!",trudiscantlebury,Otro,0
"Horrible!<br />Nunca pasaron por nosotros, nunca tuvimos manera de contactarlos (ni por teléfono ni por mensajes)<br />Es lo peor, NUNCA LOS CONTRATEN.<br />Nos tuvimos que ir por nuestros medios.","Horrible! <br /> They never went through us, we never had a way to contact them (neither by phone nor by messages) <br /> It's the worst, they never hire them. <br /> We had to go by our means.",javiermac34,Otro,0
I have posted this review not on the trip itself but the customer service I have been provided before the trip. I am sure reading the fabulous reviews this would be a wonderful trip to book. However......<br />I booked this tour months ago for 24th of May 2021. I have never used this company or been to Jersey Mill in the 10 years that I have been coming to New York. I have always gone to Woodbury Common booking direct. Yes you pay a little more but the service is impeccable. I thought I would have a change and booked this. Due to all the theatres in New York extended their COVID 19 closure times from January 2021 to May 2021  and my cruise line rescheduled times I contacted the provider to ask if I could change the date and pick up location. I DO NOT WISH TO CANCEL THE WHOLE BOOKING They have not responded yet. Sent a second follow up email today so just waiting for a response. I fully understood the booking agreement that cancellation was not possible but today I went onto the website to find changes are not possible either. Please can the company reach out to me to discuss this matter privately. I have been booking with Viator for over 12 years. Booking process is fabulous customer service is nonexistent.,I have posted this review not on the trip itself but the customer service I have been provided before the trip. I am sure reading the fabulous reviews this would be a wonderful trip to book. However......<br />I booked this tour months ago for 24th of May 2021. I have never used this company or been to Jersey Mill in the 10 years that I have been coming to New York. I have always gone to Woodbury Common booking direct. Yes you pay a little more but the service is impeccable. I thought I would have a change and booked this. Due to all the theatres in New York extended their COVID 19 closure times from January 2021 to May 2021  and my cruise line rescheduled times I contacted the provider to ask if I could change the date and pick up location. I DO NOT WISH TO CANCEL THE WHOLE BOOKING They have not responded yet. Sent a second follow up email today so just waiting for a response. I fully understood the booking agreement that cancellation was not possible but today I went onto the website to find changes are not possible either. Please can the company reach out to me to discuss this matter privately. I have been booking with Viator for over 12 years. Booking process is fabulous customer service is nonexistent.,Amanda G,Recomendación por buen estado del vehículo,2
"Excelente servicio!! Si busca amabilidad, seguridad y confort. Esta es la compañía, gracias a JR y su equipo.","Excellent service!!If you seek kindness, security and comfort.This is the company, thanks to JR and its team.",Cesar Augusto M,Otro,2
Phenomenal service and our driver  was professional and excellent. I will continue to use Jr Luxury NYC Transportation for all my business events and I will be requesting Junior for my driver.,Phenomenal service and our driver  was professional and excellent. I will continue to use Jr Luxury NYC Transportation for all my business events and I will be requesting Junior for my driver.,jessica,Recomendación por buen servicio del conductor,2
Our last minute driver was great ! We had fun at the Woodbury Outlets ! Staff needs to work on communicating with customer ! ,Our last minute driver was great ! We had fun at the Woodbury Outlets ! Staff needs to work on communicating with customer !,Vacationgirl,Otro,2
"Prefect service, my flight arrived 45 minutes late. Yet, they waited for me and as soon as I landed I received a text message letting me know my driver was ready and waiting for me. Driver was talkative and very friendly making my ride into the city very smooth and easy going. Thank you JR and the team, you guys rock!","Prefect service, my flight arrived 45 minutes late. Yet, they waited for me and as soon as I landed I received a text message letting me know my driver was ready and waiting for me. Driver was talkative and very friendly making my ride into the city very smooth and easy going. Thank you JR and the team, you guys rock!",giselleele,Recomendación por buen servicio del conductor,2
"Excelente servicio, conductores muy profesionales y amables e informativos.<br />Definitivamente lo usaría nuevamente y lo recomendaría a otros","Excellent service, very professional and friendly and informative drivers. <br /> I would definitely use it again and recommend it to others",amanda g,Recomendación por buen servicio del conductor,2
"Mis amigos y yo realmente disfrutamos el servicio, el conductor fue muy amable y agradable, no fue grosero ni nada. Recomiendo encarecidamente este libro de servicios Jr luxury NYC","My friends and I really enjoyed the service, the driver was very friendly and pleasant, it was not rude or anything.I strongly recommend this service book Jr Luxury Nyc",Elizabeth,Recomendación por buen servicio del conductor,2
"Mi esposa y yo disfrutamos del servicio, el conductor fue amable y educado, fue un gran momento, el conductor estaba tranquilo y paciente, fue un viaje encantador para mí y mi esposa se sorprendió de que realmente fuera un viaje de 5 estrellas. Recomiendo Jr luxury NYC.","My wife and I enjoyed the service, the driver was kind and educated, it was a great moment, the driver was calm and patient, it was a lovely trip to me and my wife was surprised that it was really a 5 -star trip.I recommend JR Luxury NYC.",John,Otro,2
"Had problems with both pickups!!  Was 45 min late picking us up at airport. I paid extra for inside pickup and that didn’t happen, either!!  Then on our return to airport they were 1/2 hour late picking us up!!  If you pay this much for a service they should be on time. Upside was that the drivers were very friendly.  ","Had problems with both pickups!!  Was 45 min late picking us up at airport. I paid extra for inside pickup and that didn’t happen, either!!  Then on our return to airport they were 1/2 hour late picking us up!!  If you pay this much for a service they should be on time. Upside was that the drivers were very friendly.",Decoyqueen,Recomendación por buen servicio del conductor,2
"I reserved a luxury car with JR Luxury NYC from JFK Airport to my hotel in Manhattan and back. Communication from both of my drivers was efficient. The vehicle was in top shape, water was provided as well. My drivers, Jonathan and Riol, were informative of the city. What a superb service!","I reserved a luxury car with JR Luxury NYC from JFK Airport to my hotel in Manhattan and back. Communication from both of my drivers was efficient. The vehicle was in top shape, water was provided as well. My drivers, Jonathan and Riol, were informative of the city. What a superb service!",Jasmine G,Otro,2
"My family and I received a great service from this luxury company. My husband booked a private service to visit our family along with my two kids. It was a long commute but we have no complaints at all. We were picked up on time, there were refreshments in the car and the vehicle was impecable and spacious. We found it to be affordable even though it was a long ride.  The driver was very friendly and very welcoming even stopped as many times as we requested. Excellent job JR LUXURY!","My family and I received a great service from this luxury company. My husband booked a private service to visit our family along with my two kids. It was a long commute but we have no complaints at all. We were picked up on time, there were refreshments in the car and the vehicle was impecable and spacious. We found it to be affordable even though it was a long ride.  The driver was very friendly and very welcoming even stopped as many times as we requested. Excellent job JR LUXURY!",Arlynh S,Recomendación por buen servicio del conductor,2
"Fahrzeug bestellt und so per Mail bestätigt worden. Unser Fahrzeug kam aber nicht für den Flughafentransfer. Ein Mitarbeiter der Firma telefonierte über 20 Minuten mit dem Chef, wir nahmen dann ein offizielles Yellow Taxi.<br />LUXOR Black ist gar nicht zu empfehlen.","The vehicle has been ordered and thus confirmed by email.However, our vehicle did not come for the airport transfer.An employee of the company was on the phone with the boss over 20 minutes, we then took an official Yellow Taxi. <br /> Luxor Black is not recommended.",Bruno S,Otro,0
"Tomamos este servicio de París a Brujas, Bélgica. Nuestro conductor Sulemon fue excepcional. ¡Era agradable, eficiente y un gran conductor! Fue paciente con nuestro grupo de 5. Los asientos en la camioneta nos permitieron a todos una gran vista y un viaje cómodo. Tratar con Kamil también fue fácil. Recomiendo encarecidamente Black Door para un viaje corto o de todo el día.","We took this service from Paris to Bruges, Belgium.Our Sulemon driver was exceptional.It was pleasant, efficient and a great driver!He was patient with our group of 5. The seats in the truck allowed us all a great view and a comfortable trip.Treating with Kamil was also easy.I strongly recommend Black Door for a short trip or all day.",24lorraineS,Otro,2
"El peor servicio de coche. No los use, cancelarán su viaje si alguna vez se quejan de algo. Cancelaron un viaje que reservé para mi cliente porque me quejé de que se olvidaron de enviar un conductor. mientras el pasajero los esperaba en el Aeropuerto. ¡TRISTE!","The worst car service.Do not use them, they will cancel your trip if you ever complain about something.They canceled a trip that I booked for my client because I complained that they forgot to send a driver.while the passenger was waiting for them at the airport.SAD!",Abia U,Otro,0
"Gran experiencia cada vez que utilizamos el servicio de automóviles Luxor.<br />Personal amable que se asegura de que el destino sea el correcto, los autos siempre estén limpios con agua para el viaje. Recomendaría especialmente con COVID 19.","Great experience every time we use the Luxor car service. <br /> Friendly personnel who ensure that the destination is correct, cars are always clean with water for the trip.I would recommend especially with Covid 19.",BHeil,Recomendación por buen servicio del conductor,2
"This is the first time give a bad review about a company but this was one of one the worst experience dealing with I booked years ago with Luxor Limo and decided to book again for April 2020 . I planned this trip since a year for my son 10 years ‘s birthday and was so disappointed for not going to NYC because of the Corona Virus pandemic. Hotel, Restaurants, activities, airlines understood the situation and refunds me everything. However, Luxor Limo was the only company which did not refund my deposit even if they were not able to provide the service because of the pandemics. Tony was so rude on the phone. I will not recommend to book with Luxor Limo. They only care about money and do not care about their customers at all and only want to take advantage of the situation…such a shame in this terrible moment for everyone . Their manager Neil is really a bad supervisor and I will never use their services again. STEEVE","This is the first time give a bad review about a company but this was one of one the worst experience dealing with I booked years ago with Luxor Limo and decided to book again for April 2020 . I planned this trip since a year for my son 10 years ‘s birthday and was so disappointed for not going to NYC because of the Corona Virus pandemic. Hotel, Restaurants, activities, airlines understood the situation and refunds me everything. However, Luxor Limo was the only company which did not refund my deposit even if they were not able to provide the service because of the pandemics. Tony was so rude on the phone. I will not recommend to book with Luxor Limo. They only care about money and do not care about their customers at all and only want to take advantage of the situation…such a shame in this terrible moment for everyone . Their manager Neil is really a bad supervisor and I will never use their services again. STEEVE",Steeve C,Otro,0
Esta empresa es completamente asquerosa. El servicio al cliente fue terrible. El chofer fue grosero y se comportó terriblemente con nosotros. No lo recomiendo,This company is completely disgusting.Customer service was terrible.The driver was rude and behaved terribly with us.I do not recommend it,Sara R,Otro,0
Reservado en línea. Fue excelente en la comunicación con múltiples correos electrónicos que confirmaron la reserva. Llegó temprano para la recogida y nos contactó con el nombre del conductor y la placa. Conductor profesional y agradable.<br />Gran servicio de automóviles en Nueva York y lo usaré nuevamente,Reserved online.It was excellent in communication with multiple emails that confirmed the reserve.He arrived early for the collection and contacted us the driver's name and the plate.Professional and pleasant driver. <br /> Great car service in New York and I will use it again,Michelle P,Recomendación por buen servicio del conductor,2
"Reservamos una limusina para nuestra llegada a Nueva York. Nuestro tiempo de vuelo cambió varias veces debido a retrasos y, finalmente, nuestra ubicación de llegada cambió de Newark a JFK. Nos mantuvimos en contacto con las limusinas de Luxor en todo momento y continuaron rastreando cualquier cambio en función de nuestro número de vuelo. Fueron extremadamente amables, serviciales y serviciales, y definitivamente volveremos a reservar con limusinas Luxor nuevamente. Es una excelente manera de comenzar unas vacaciones con estilo :)","We reserve a limousine for our arrival in New York.Our flight time changed several times due to delays and, finally, our arrival location changed Newark to JFK.We stayed in contact with Luxor limousines at all times and continued to track any change depending on our flight number.They were extremely friendly, service and services, and we will definitely reserve with Luxor limousines again.It is an excellent way to start a style vacation :)",tarajoeob,Recomendación por buen servicio del conductor,2
"Sadly,we were badly let down by Luxor. We landed delayed from London but we had been told before that the company monitors the flights. We therefore expected a limo for my kids and parents with a driver probably twiddling his thumbs as we were late.<br />I called on arrival as requested and the weather was terrible outside and I was told the driver would be 20 minutes as the traffic and weather were bad (this is 1am by now). 30 mins pass and no response. I call again and I'm told 10 mins, 15 minutes pass and no call. I call again and I'm told another 10 mins and this is when I cancel and decide not to use this company ever again. The weather was blamed, but the weather had been bad all day so it wasnt unexpected and we were late anyway from the flight plus it was 1am so hardly rush hour. If I add in the the time from when we should have landed then they were 90 minutes late by the time I gave up.  The worst thing was being fobbed off as they obviously were just playing for time and had screwed up.<br />It really spoilt the start of a big family holiday and I will never use this company again, indeed I'd recommend anyone avoid it. ","Sadly,we were badly let down by Luxor. We landed delayed from London but we had been told before that the company monitors the flights. We therefore expected a limo for my kids and parents with a driver probably twiddling his thumbs as we were late.<br />I called on arrival as requested and the weather was terrible outside and I was told the driver would be 20 minutes as the traffic and weather were bad (this is 1am by now). 30 mins pass and no response. I call again and I'm told 10 mins, 15 minutes pass and no call. I call again and I'm told another 10 mins and this is when I cancel and decide not to use this company ever again. The weather was blamed, but the weather had been bad all day so it wasnt unexpected and we were late anyway from the flight plus it was 1am so hardly rush hour. If I add in the the time from when we should have landed then they were 90 minutes late by the time I gave up.  The worst thing was being fobbed off as they obviously were just playing for time and had screwed up.<br />It really spoilt the start of a big family holiday and I will never use this company again, indeed I'd recommend anyone avoid it.",Dubaitraveller,Queja por conductor,0
"Scheduled limo days in advance, we got got called at pickup time to indicate 15min late, hour later we gave up.  Cost us $800 for missing event.  Plan accordingly.","Scheduled limo days in advance, we got got called at pickup time to indicate 15min late, hour later we gave up.  Cost us $800 for missing event.  Plan accordingly.",TSH,Queja por conductor,0
"Esto fue sin duda la peor experiencia absoluta que he tenido en mi vida. Llegaron una hora tarde, no se encontraron en el lugar de recogida que proporcioné, nos hicieron cambiar de limusina en el tráfico que se aproximaba porque el que estábamos ""no era seguro"", y los conductores eran terribles.<br /><br />Su argumento de venta me convenció de ""poseer todos sus vehículos que son de alta calidad"", ""servicio al cliente excepcional"" y otros, y estoy devastado de haberlos elegido. Su servicio al cliente era inexistente y completamente inútil, todo lo que podían hacer era echarle la culpa al tráfico como si ese fuera mi problema, y el tráfico en la ciudad de Nueva York era una idea nueva.<br /><br />Al final, me dieron un gran crédito en mi factura, pero de qué sirve que cuando su noche se arruine porque la compañía de limusinas llegó una hora tarde, desearía no haber confiado en ellos. Cena arruinada. Sorpresa arruinada. La noche arruinada. Recomiendo considerar a alguien más. Y si por alguna razón los elige, no se deje engañar por su auto propina forzada. . . propina al conductor si se lo merecen.","This was undoubtedly the worst absolute experience I have had in my life.They arrived an hour late, they did not find themselves in the place of collection that I provided, they changed us of limousine in the traffic that was approaching because the one we were ""was not safe"", and the drivers were terrible. <br /> <Br /> His sales argument convinced me to ""possess all his vehicles that are of high quality"", ""exceptional customer service"" and others, and I am devastated to have chosen them.His customer service was non -existent and completely useless, all they could do was to blame traffic as if that were my problem, and traffic in New York City was a new idea. <br /> <br />In the end, they gave me a great credit in my bill, but what is the use of when their night is ruined because the limousine company came an hour late, I would not have trusted them.Ruined dinner.Ruined surprise.The ruined night.I recommend considering someone else.And if for some reason he chooses them, do not be fooled by his forced tip car...Provide to the driver if they deserve it.",Jon C,Queja por conductor,0
"Reservamos esta limusina, recibimos correos electrónicos de ida y vuelta sobre los horarios de recogida, que ordenamos en línea, 1 semana más tarde un depósito más una tarifa de cambio, ahora esto es interesante. .<br /><br />Tuvimos un pago para taco bells, no los teníamos en Gales, luego unos pocos más y más, afortunadamente mi banco me llamó para preguntar si había hecho esos pagos, es una nueva tarjeta de crédito, esto fue lo único que pagué ¡con tarjeta de crédito! ¡Ten cuidado! !","We reserve this limousine, we receive electronic round trips on the collection schedules, which we order online, 1 week later a deposit plus a change rate, now this is interesting.. <br /> <br /> We had a payment for Taco Bells, we didn't have them in Wales, then a few more and more, fortunately my bank called me to ask if I had made those payments, it is a new credit card, thisIt was the only thing I paid by credit card!Be careful!!",Wayne E,Queja por conductor,2
"Excelente manera de superar la experiencia de alquiler.<br />Mi elección fue el espacioso autobús de fiesta, fue reservado por cinco horas y todo fue perfecto.<br />El conductor fue muy amable, lo que hizo que la impresión fuera aún mejor.<br /><br />¿Los volvería a usar en otra ocasión? - si","Excellent way to overcome the rental experience. <br /> My choice was the spacious party bus, it was reserved for five hours and everything was perfect. <br /> The driver was very friendly, which made the impression stillBetter. <br /> <br /> Would you use them again on another occasion?- Yeah",Sun Feng,Recomendación por buen servicio del conductor,2
"Tuvimos una limusina (conducida por Anthony) que nos recogió en el aeropuerto. Viaje tranquilo a la ciudad con un poco de Prosecco para celebrar el 50 aniversario de mi amigo.<br />Daniel nos llevó de regreso a La Guardia al final de nuestro viaje en un Town Car.<br />Ambos llegaron a tiempo (¡temprano!), Conductores fáciles de encontrar, amables y seguros.<br />¡Usaré Luxor nuevamente!","We had a limousine (driven by Anthony) that picked us up at the airport.Quiet trip to the city with a little Prosecco to celebrate my friend's 50th anniversary. <br /> Daniel took us back to the guard at the end of our trip on a Town Car. <br /> Both arrived on time (Early!), Easy finding drivers, kind and safe. <br /> I will use Luxor again!",sonja H,Recomendación por buen servicio del conductor,2
Éramos dos familias de tres que viajaban con dos adolescentes. La limusina fue una sorpresa para las chicas y fue un placer ver sus expresiones cuando llegó la limusina. Tuvimos un maravilloso viaje a nuestro alojamiento en el Bajo Manhattan con una maravillosa vista de Manhattan desde el otro lado del río. Nuestro conductor fue muy agradable. Fue una forma maravillosa de comenzar nuestras vacaciones. Luxor Limo fue eficiente en responder nuestras consultas y no tuvimos ninguna sorpresa con nuestra factura. Terminó como se cita. Reservamos la limusina una hora y veinte minutos después del aterrizaje para dar tiempo a la recuperación y seguridad del equipaje y funcionó bien.,We were two families of three who were traveling with two teenagers.The limousine was a surprise for the girls and it was a pleasure to see their expressions when the limousine arrived.We had a wonderful trip to our accommodation in low Manhattan with a wonderful view of Manhattan from the other side of the river.Our driver was very pleasant.It was a wonderful way to start our vacation.Luxor Limo was efficient to answer our consultations and we had no surprise with our bill.It ended how it is cited.We reserve the limousine one hour and twenty minutes after the landing to give time to the recovery and safety of the luggage and worked well.,Isabelle D,Otro,2
"Booked online. Then saw that Luxor had somehow transformed JFK airport NYC to JFK blvd Newark NJ. Hit the back button to fix their mistake. Instantly, they spiked the price by 40% - for a shorter ride!<br />Since i was still in the middles of the transaction, I left the site. Booked a fine ride with Carmel for less than Luxor quoted in the first place. A week later, Luxor billed me for a ride I never ordered and never took. <br />I asked for a credit. ""No way"" they said. I suggested a compromise just to get something back. Their answer? ""We aren't giving you back a penny."" <br /> I've frozen the payment on my card and filed a complaint with the Taxi and Limo Commission. <br />It will cost them thousands of dollars in lost fares from me, fighting with Chase to get payment and defending themselves against the charges with the TLC.<br />A brilliant way to build a relationship with a local resident who could have booked them a dozen times a year. If they would do this to me. They will do it to you.","Booked online. Then saw that Luxor had somehow transformed JFK airport NYC to JFK blvd Newark NJ. Hit the back button to fix their mistake. Instantly, they spiked the price by 40% - for a shorter ride!<br />Since i was still in the middles of the transaction, I left the site. Booked a fine ride with Carmel for less than Luxor quoted in the first place. A week later, Luxor billed me for a ride I never ordered and never took. <br />I asked for a credit. ""No way"" they said. I suggested a compromise just to get something back. Their answer? ""We aren't giving you back a penny."" <br /> I've frozen the payment on my card and filed a complaint with the Taxi and Limo Commission. <br />It will cost them thousands of dollars in lost fares from me, fighting with Chase to get payment and defending themselves against the charges with the TLC.<br />A brilliant way to build a relationship with a local resident who could have booked them a dozen times a year. If they would do this to me. They will do it to you.",Ian J,Queja por conductor,0
"Llegamos a un aeropuerto JFK húmedo y muy ocupado y tuvimos que llegar a Jersey City. . . . . Gracias a Dios que alguien más conducía. El conductor conocía algunas calles secundarias para evitar el tráfico, pero en un momento no íbamos a ninguna parte durante 20 minutos.<br />Tomar 3 modos diferentes de transporte público no era una opción, por lo que este servicio valió la pena.","We arrived at a humid and very busy JFK airport and had to get to Jersey City.....Thank God someone else was driving.The driver knew some secondary streets to avoid traffic, but at one point we were nowhere for 20 minutes. <br /> Taking 3 different public transport modes was not an option, so this service was worth it.",gerardmW7699SY,Otro,2
"Pedimos una limusina para una sorpresa para el cumpleaños de mi padre para transportarnos desde el aeropuerto a nuestro hotel en Times Square. No podría pedir un mejor servicio. A tiempo, el conductor y el automóvil profesionales estaban limpios, sin embargo, no una crítica de 5 estrellas. Esto se debió a que pagué más por una botella de champán, pero al abrirla me di cuenta de que era prosecco. No es una gran queja, pero me sentí un poco estafado.","We ask for a limousine to a surprise for my father's birthday to transport us from the airport to our hotel in Times Square.I could not ask for a better service.On time, the professional driver and car were clean, however, not a 5 -star criticism.This was due to the fact that I paid more for a bottle of champagne, but when I opened it I realized that it was Prosecco.It's not a big complaint, but I felt a bit cheated.",Emmyloularvin,Recomendación por buen servicio del conductor,0
"No podría haber pedido un mejor servicio. A tiempo, encantador y experto conductor. Los usaré de nuevo con seguridad.","I could not have asked for a better service.On time, charming and driver expert.I will use them again.",Karen J S,Otro,2
"Llegó a elegir Luxor NYC a través de una recomendación.<br />Qué más decir que: saben cómo manejar una operación completa.<br />El nuestro fue un viaje de ida y vuelta desde nuestro hotel a un lugar en el centro, fue genial.<br /><br />Nota especial para los agentes y el tipo que estaba a cargo de nuestro automóvil: trabajadores profesionales.<br /><br />Consejo: revise la flota de autos en su sitio web antes de elegir cualquier cosa",Luxor NyC came to choose through a recommendation.It was great. <br /> <br /> Special note for agents and the guy in charge of our car: professional workers. <br /> <br /> Tip: Check the car fleet on your website beforeto choose anything,Mace W.,Recomendación por buen servicio del conductor,2
Llegamos al aeropuerto y no recibí ni saludaron por lo que pagué y el conductor llegó 30 minutos tarde. Luego se estacionó en el garaje y tuvimos que cruzar todas las carreteras y llevar nuestro equipaje y tomar las manos de nuestros hijos. No usaría este servicio. Fue una experiencia terrible.,We arrived at the airport and did not receive or greeted for what I paid and the driver arrived 30 minutes late.Then he parked in the garage and we had to cross all the roads and carry our luggage and take our children's hands.I would not use this service.It was a terrible experience.,Jenni B,Queja por conductor,0
"Impresionante servicio, comunicación y vehículos. Nuestro conductor favorito era el Sr. Sibgatulla. Excelente manera de evitar esperar en una línea de taxi.","Impressive service, communication and vehicles.Our favorite driver was Mr. Sibgatulla.Excellent way to avoid waiting on a taxi line.",Catherine K,Otro,2
"Nunca he tenido un encuentro con esta versión de arrastre antes. Pero después de lo que experimenté, ¡lo clasificaría en mis tres tipos de transporte favoritos!<br />Permítanme decir que la reserva en línea fue simple y, sin ningún esfuerzo especial, todo se resolvió.<br /><br />Nos notificaron antes de la llegada de nuestro conductor Mark, y luego tomamos un paseo que terminó siendo una diversión de tres horas y media para nosotros.<br />No hubo un minuto de aburrimiento, y el vehículo fue exactamente como se esperaba.<br /><br />Que gran viaje","I have never had an encounter with this drag version before.But after what I experienced, I would classify it in my three favorite types of transport! <br /> Let me say that the online reservation was simple and, without any special effort, everything was resolved. <br /> <br />They notified us before the arrival of our driver Mark, and then we took a walk that ended up being a fun of three and a half hours for us. <br /> There was no minute of boredom, and the vehicle was exactly as expected.Br /> <br /> What a great trip",Alicia Nold,Otro,2
Tuve una experiencia maravillosa con Luxor Limo y recomiendo a los profesionales aquí. Me cobraron exactamente como se cita. Utilicé el servicio de encuentro y saludo en LGA y el conductor se reunió conmigo y me ayudó a llevar mis maletas al automóvil junto con mi hijo en una silla de ruedas. ¡Gran experiencia!,I had a wonderful experience with Luxor Limo and I recommend professionals here.They charged me exactly how it is cited.I used the meeting and greeting service in LGA and the driver met with me and helped me take my bags to the car along with my son in a wheelchair.Great experience!,Chm74,Recomendación por buen servicio del conductor,2
"He tenido algunas experiencias horribles con los servicios de automóviles. Uno me dejó varado en JFK durante cinco horas tarde en la noche. Esta empresa la entregó y me gustó especialmente mi conductor Natar. Super buen chico Hubo comunicación de confirmación o recogidas, puntuales y muy profesionales. Un poco caro, pero obtienes lo que pagas.","I have had some horrible experiences with car services.One left me stranded in JFK for five hours late at night.This company delivered it and I especially liked my Natar driver.Super good boy there was confirmation or collected communication, punctual and very professional.A little expensive, but you get what you pay.",evo,Recomendación por buen servicio del conductor,1
"The services was excellent, kind and friendly <br />Thank you so much, we recommend 100%<br />Me encantó el servicio en tiempo, su excelencia y muy amable, nos hizo sentir en casa<br />Muchas gracias por sus servicio <br />Los recomendamos 100%","The Services was Excellent, Kind and Friendly <br /> Thank You So Muchyour service <br /> We recommend them 100%",pamela s,Recomendación por buen servicio del conductor,2
"Mario y su servicio de limusina son incomparables. Siempre puntuales, siempre profesionales y preparados. Los vehículos son espaciosos, cómodos y la respuesta del propietario y conductores, excepcional. Los he usado muchas veces. mario es el mejor. ¡No encontrarás nada mejor!","Mario and his limousine service are incomparable.Always punctual, always professionals and prepared.The vehicles are spacious, comfortable and the response of the owner and drivers, exceptional.I have used them many times.Mario is the best.You will not find anything better!",Jangol,Recomendación por buen servicio del conductor,2
"El conductor fue puntual y muy amable, gracias al excelente servicio reservamos un viaje con ellos a Boston y Washington, te llevan a las principales atracciones de cada ciudad. Puede cargar su teléfono en el automóvil, lo cual es muy conveniente ya que está tomando muchas fotos. Recomendado 10 / 10 .","The driver was punctual and very friendly, thanks to the excellent service we reserve a trip with them to Boston and Washington, they take you to the main attractions of each city.You can load your phone in the car, which is very convenient since it is taking many photos.Recommended 10/10.",Judith C,Recomendación por buen servicio del conductor,2
"Esta es la tercera vez que visitamos Nueva York, pero la primera vez que traemos a los niños, así que queríamos algo especial como transporte, y lo conseguimos. Mario es fantástico; agradable, bien informado, simplemente un tipo absolutamente encantador. Los vehículos estaban impecablemente limpios y lujosos e incluso tenían agua de cortesía para nosotros. El viaje de regreso fue muy pesado, por lo que Mario se puso en contacto con nosotros antes de la hora de recogida acordada para asegurarse de que tuviéramos mucho tiempo para llegar al aeropuerto, llegó temprano y nos tomó un atajo para evitar la gran congestión. Hazte un favor y reserva con él, no te arrepentirás. Muy recomendable.","This is the third time we visited New York, but the first time we bring children, so we wanted something special as transport, and we got it.Mario is fantastic;Nice, well informed, simply an absolutely charming guy.The vehicles were impeccably clean and luxurious and even had courtesy water for us.The return trip was very heavy, so Mario contacted us before the agreed collection time to make sure we had a lot of time to get to the airport, arrived early and took a shortcut to avoid the great congestion.Get a favor and reserve with him, you will not regret it.Highly recommended.",Joanne D,Recomendación por buen servicio del conductor,2
Excellent service!!!<br />All the team made us feel safe and welcome to New York!!<br />My flight got rescheduled 3 times and they always were in contacted with me to organised my pick up. <br />Really I couldn’t recommended luxury NY Limo more!!! ⭐️⭐️⭐️⭐️⭐️+<br /><br />Julie,Excellent service!!!<br />All the team made us feel safe and welcome to New York!!<br />My flight got rescheduled 3 times and they always were in contacted with me to organised my pick up. <br />Really I couldn’t recommended luxury NY Limo more!!! ⭐️⭐️⭐️⭐️⭐️+<br /><br />Julie,Julie C,Otro,2
